message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,Verified bank account/card payment update with low scam risk and strong prior user engagement.,0.94,message_0243;message_0101;message_0102
msg_091,mute,scam,"Requests a one-time login code under an urgent account-expiry pretext, indicating credential theft.",0.99,none
msg_090,digest,personal,A low-risk personal identity check about a non-urgent package mix-up can wait for later review.,0.91,none
msg_048,mute,scam,Unverified forwarded group message pressures immediate QR payment under threat of access-card blocking.,0.95,none
msg_040,mute,forward,"Chain-forward message uses superstition and pressure to encourage repetitive sharing, with no useful or urgent content.",0.99,none
msg_075,notify,urgent,A verified ride service reports a time-sensitive pickup or route change for a ride booked today.,0.98,message_0205;message_0206
msg_005,notify,urgent,"Time-sensitive pickup confirmation is needed by 6 PM today, and prior similar messages from this sender received quick replies.",0.96,message_0065;message_0332;message_0382
msg_104,notify,personal,Direct pickup coordination has a clear 6 PM deadline and requests a timely confirmation.,0.90,message_0224;message_0383
msg_069,mute,forward,Generic high-forward-count group greeting asks recipients to reshare and has low immediate value.,0.98,none
msg_107,mute,scam,"Requests a private OTP to keep wallet payments active, a credential-theft pattern.",0.99,none
msg_070,mute,scam,"Uses account-blocking urgency to solicit a verification code, a clear credential-phishing pattern.",0.98,none
msg_003,digest,business_update,Routine Amazon order progress update with no immediate action required.,0.98,none
msg_099,digest,business_update,Non-blocking work update that should be reviewed before tomorrow's 11 AM standup.,0.97,none
msg_008,digest,business_update,Post-purchase product review request is legitimate but non-urgent.,0.96,none
msg_092,digest,payment,Verified card issuer sent a routine monthly statement reminder with no immediate deadline or high-risk indicators.,0.95,none
msg_060,notify,urgent,Time-sensitive faculty deadline says required internship documents must be submitted by 5 PM today; scam risk is low despite the attached image being outdated.,0.90,none
msg_004,digest,business_update,"Legitimate-looking health service update directs the customer to review details in the registered app, but gives no specific urgent deadline.",0.91,none
msg_030,digest,promotion,"Local group resale offer is potentially useful but non-urgent, with no meaningful scam indicators.",0.96,none
msg_045,notify,urgent,A delivery person is waiting at the gate and needs confirmation or pickup within 10 minutes.,0.98,none
msg_052,mute,scam,"Refund bait urges wallet-detail verification through an unofficial link, indicating likely phishing.",0.89,none
msg_009,digest,event,Optional cricket-watching thread planned for tonight; useful later but not interruption-worthy in a muted sports group.,0.96,message_0074;message_0073
msg_071,digest,event,Tentative plan for tomorrow is useful but lacks a confirmed time or clear urgency.,0.91,none
msg_016,mute,scam,Unverified account-block threat pressures recipients to use a suspicious login domain within 30 minutes.,0.98,none
msg_065,mute,promotion,Limited-time shopping and cashback offer is unsolicited promotional content with an unsubscribe prompt.,0.98,none
msg_038,mute,forward,Chain message pressures recipients to forward widely for supposed luck and offers no useful information.,0.99,none
msg_086,notify,event,"Tomorrow's airport pickup time changed to 6:15 a.m., requiring timely awareness.",0.94,none
msg_014,mute,promotion,Unsolicited first-order discount promotion with urgency language and an unsubscribe option.,0.99,none
msg_094,digest,promotion,Time-limited retail discount offer is promotional and useful only for later review.,0.98,none
msg_029,digest,promotion,Group marketplace listing for used clothing is non-urgent and may be useful to review later; no clear scam indicators were found.,0.94,none
msg_105,mute,forward,"Highly forwarded health advice urges stopping prescribed tablets and substituting an unverified herbal mix, creating a clear safety risk.",0.99,none
msg_002,notify,urgent,"Direct time-sensitive request before a client meeting, with strong prior evidence of prompt replies to similar coworker requests.",0.97,message_0169;message_0003;message_0059
msg_010,mute,promotion,Routine post-visit feedback solicitation from a business with no urgent or actionable account information.,0.98,none
